"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","2052350000","General book printing and binding, including book club, mail order, mass market, and other trade books for adults and juveniles (including toy and coloring books)","454390","Other direct selling establishments","All establishments","13","4,185 (s)","0.3","80% to less than 90%","85.7"
"United States","2017","2052850000","Engraving (printing)","448140","Family clothing stores","All establishments","D","D","D","D","D"
"United States","2017","2052850000","Engraving (printing)","448150","Clothing accessories stores","All establishments","8","356 (s)","0.0","60% to less than 70%","69.4"
"United States","2017","2052850000","Engraving (printing)","453210","Office supplies and stationery stores","All establishments","1,837","453,267","53.5","Less than 10%","1.0"
"United States","2017","2052850000","Engraving (printing)","453220","Gift, novelty, and souvenir stores","All establishments","1,048","125,176","14.8","30% to less than 40%","6.0"
"United States","2017","2052850000","Engraving (printing)","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","43","1,692","0.2","60% to less than 70%","34.3"
"United States","2017","2052850000","Engraving (printing)","454110","Electronic shopping and mail-order houses","All establishments","29","2,430","0.3","Less than 10%","37.5"
"United States","2017","2053200000","Screen printing on garments, apparel accessories, and other fabric articles, excluding labels and banners","448190","Other clothing stores","All establishments","5","836 (s)","0.0","40% to less than 50%","96.0"
"United States","2017","2054075000","Lapidary work, except for watch jewels","442299","All other home furnishings stores","All establishments","7","618 (s)","0.2","Less than 10%","94.5"
"United States","2017","2054080000","Other contract manufacturing services, nec.","441120","Used car dealers","All establishments","D","D","D","D","D"
"United States","2017","2054080000","Other contract manufacturing services, nec.","441310","Automotive parts and accessories stores","All establishments","D","D","D","D","D"
"United States","2017","2054080000","Other contract manufacturing services, nec.","442299","All other home furnishings stores","All establishments","D","D","D","D","D"
"United States","2017","2054080000","Other contract manufacturing services, nec.","444120","Paint and wallpaper stores","All establishments","D","D","D","D","D"
"United States","2017","2054080000","Other contract manufacturing services, nec.","444130","Hardware stores","All establishments","18","108","0.0","10% to less than 20%","11.8"
"United States","2017","2054080000","Other contract manufacturing services, nec.","444190","Other building material dealers","All establishments","D","D","D","D","D"
"United States","2017","2054080000","Other contract manufacturing services, nec.","444220","Nursery, garden center, and farm supply stores","All establishments","D","D","D","D","D"
"United States","2017","2054080000","Other contract manufacturing services, nec.","451130","Sewing, needlework, and piece goods stores","All establishments","D","D","D","D","D"
"United States","2017","2054080000","Other contract manufacturing services, nec.","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","S","A","S","S","S"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","441222","Boat dealers","All establishments","3","1,255 (s)","0.0","70% to less than 80%","65.5"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","441320","Tire dealers","All establishments","D","D","D","D","D"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","442210","Floor covering stores","All establishments","D","D","D","D","D"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","442299","All other home furnishings stores","All establishments","D","D","D","D","D"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","444130","Hardware stores","All establishments","D","D","D","D","D"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","444190","Other building material dealers","All establishments","D","D","D","D","D"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","445110","Supermarkets and other grocery (except convenience) stores","All establishments","D","D","D","D","D"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","445120","Convenience stores","All establishments","S","A","S","S","S"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","445210","Meat markets","All establishments","D","D","D","D","D"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","445310","Beer, wine, and liquor stores","All establishments","D","D","D","D","D"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","448140","Family clothing stores","All establishments","S","A","S","S","S"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","448190","Other clothing stores","All establishments","D","D","D","D","D"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","448310","Jewelry stores","All establishments","S","A","S","S","S"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","6","407 (s)","0.0","40% to less than 50%","52.0"
"United States","2017","2054100000","Other manufacturing revenue, not elsewhere classified","454210","Vending machine operators","All establishments","D","D","D","D","D"
"United States","2017","3000075000","Constructions of manufactured (mobile) homes, all width sizes (including multisection)","453930","Manufactured (mobile) home dealers","All establishments","23","2,999 (s)","0.1","60% to less than 70%","86.1"
"United States","2017","3000175000","Construction services for new manufactured homes (mobile homes), all width sizes (including multisection)","453930","Manufactured (mobile) home dealers","All establishments","70","44,136","3.9","20% to less than 30%","28.0"
"United States","2017","3000225000","Construction services for additions, renovations, and alterations to single detached residential buildings","442110","Furniture stores","All establishments","S","A","S","S","S"
"United States","2017","3000225000","Construction services for additions, renovations, and alterations to single detached residential buildings","442210","Floor covering stores","All establishments","1,625","768,593","1.1","20% to less than 30%","4.1"
"United States","2017","3000225000","Construction services for additions, renovations, and alterations to single detached residential buildings","442291","Window treatment stores","All establishments","D","D","D","D","D"
"United States","2017","3000225000","Construction services for additions, renovations, and alterations to single detached residential buildings","444120","Paint and wallpaper stores","All establishments","D","D","D","D","D"
"United States","2017","3000225000","Construction services for additions, renovations, and alterations to single detached residential buildings","444190","Other building material dealers","All establishments","D","D","D","D","D"
"United States","2017","3000250000","Construction services for additions, renovations, and alterations to single attached residential buildings, including row houses and town houses","442110","Furniture stores","All establishments","S","A","S","S","S"
"United States","2017","3000250000","Construction services for additions, renovations, and alterations to single attached residential buildings, including row houses and town houses","442210","Floor covering stores","All establishments","803","202,921","1.3","30% to less than 40%","10.1"
"United States","2017","3000275000","Construction services for additions, renovations, and alterations to manufactured homes (mobile homes), all width sizes (including multisection)","453930","Manufactured (mobile) home dealers","All establishments","38","12,398","0.8","Less than 10%","19.9"
"United States","2017","3000325000","Construction services for maintenance and repair of single detached residential buildings","442110","Furniture stores","All establishments","D","D","D","D","D"
"United States","2017","3000325000","Construction services for maintenance and repair of single detached residential buildings","442210","Floor covering stores","All establishments","D","D","D","D","D"
"United States","2017","3000350000","Construction services for maintenance and repair of single attached residential buildings, including row houses and town houses","442110","Furniture stores","All establishments","S","A","S","S","S"
"United States","2017","3000350000","Construction services for maintenance and repair of single attached residential buildings, including row houses and town houses","442210","Floor covering stores","All establishments","387","21,934","0.2","40% to less than 50%","18.4"
"United States","2017","3000375000","Construction services for maintenance and repair of manufactured homes (mobile homes), all width sizes (including multisection)","453930","Manufactured (mobile) home dealers","All establishments","58","5,694 (s)","0.5","30% to less than 40%","51.6"
"United States","2017","3001650000","Construction services for additions, renovations, and alterations to stores, restaurants, automobile service stations, parking garages, and other commercial buildings","444190","Other building material dealers","All establishments","D","D","D","D","D"
"United States","2017","3001800000","Construction services for additions, renovations, and alterations to nonresidential mobile building constructions, office and other commercial","442210","Floor covering stores","All establishments","D","D","D","D","D"
"United States","2017","3003425000","Construction services for new swimming pools","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","5","1,137 (s)","0.0","10% to less than 20%","44.2"
"United States","2017","3003475000","Construction services for new fencing constructions","444190","Other building material dealers","All establishments","S","A","S","S","S"
"United States","2017","3004750000","Construction services for maintenance and repair of fencing constructions","444190","Other building material dealers","All establishments","S","A","S","S","S"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","442210","Floor covering stores","All establishments","71","23,522","0.1","20% to less than 30%","20.6"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","442299","All other home furnishings stores","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","443141","Household appliance stores","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","443142","Electronics stores","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","444110","Home centers","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","444130","Hardware stores","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","444190","Other building material dealers","All establishments","422","127,889","0.3","30% to less than 40%","10.0"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","444220","Nursery, garden center, and farm supply stores","All establishments","29","5,690 (s)","0.0","50% to less than 60%","61.0"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","445110","Supermarkets and other grocery (except convenience) stores","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","445120","Convenience stores","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","453930","Manufactured (mobile) home dealers","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","3005000000","Other constructions or construction services, not elsewhere classified","454310","Fuel dealers","All establishments","D","D","D","D","D"
"United States","2017","4000025000","Wholesale sales of packaged frozen food","445220","Fish and seafood markets","All establishments","9","402 (s)","0.0","20% to less than 30%","49.4"
"United States","2017","4000150000","Wholesale sales of fish and seafood, except canned and frozen fish and seafood","445220","Fish and seafood markets","All establishments","13","34,458","0.1","90% to 100%","33.9"
"United States","2017","4000250000","Wholesale sales of nonperishable (canned and packaged) food","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","4000425000","Wholesale sales of ice","451110","Sporting goods stores","All establishments","D","D","D","D","D"
"United States","2017","4000450000","Wholesale sales of tobacco products and electronic cigarettes","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","4000500000","Wholesale sales of men's and boys' clothing","448110","Men's clothing stores","All establishments","S","A","S","S","S"
"United States","2017","4000500000","Wholesale sales of men's and boys' clothing","448140","Family clothing stores","All establishments","3","582 (s)","0.0","70% to less than 80%","72.0"
"United States","2017","4000525000","Wholesale sales of women's, misses', and girls' clothing ","448140","Family clothing stores","All establishments","D","D","D","D","D"
"United States","2017","4000550000","Wholesale sales of infants' and children's clothing, to size 6X, including accessories","448130","Children's and infants' clothing stores","All establishments","D","D","D","D","D"
"United States","2017","4000600000","Wholesale sales of footwear and footwear accessories","448210","Shoe stores","All establishments","S","A","S","S","S"
"United States","2017","4000600000","Wholesale sales of footwear and footwear accessories","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","S","A","S","S","S"
"United States","2017","4000675000","Wholesale sales of jewelry, except costume","448310","Jewelry stores","All establishments","16","3,308","0.0","60% to less than 70%","37.9"
"United States","2017","4000675000","Wholesale sales of jewelry, except costume","454110","Electronic shopping and mail-order houses","All establishments","5","2,448 (s)","0.0","20% to less than 30%","58.3"
"United States","2017","4000700000","Wholesale sales of watches and watch parts","448120","Women's clothing stores","All establishments","D","D","D","D","D"
"United States","2017","4000700000","Wholesale sales of watches and watch parts","448310","Jewelry stores","All establishments","10","9,710","0.2","10% to less than 20%","0.1"
"United States","2017","4000725000","Wholesale sales of manufactured (mobile) homes","453930","Manufactured (mobile) home dealers","All establishments","10","3,130","3.4","Less than 10%","32.8"
"United States","2017","4000750000","Wholesale sales of household and lawn furniture","442110","Furniture stores","All establishments","D","D","D","D","D"
"United States","2017","4000775000","Wholesale sales of window treatments","454390","Other direct selling establishments","All establishments","D","D","D","D","D"
"United States","2017","4000825000","Wholesale sales of artificial flowers, plants, and trees","444220","Nursery, garden center, and farm supply stores","All establishments","S","A","S","S","S"
"United States","2017","4000900000","Wholesale sales of tableware, kitchenware, cookware, and glassware, except cutlery and novelty glassware","448310","Jewelry stores","All establishments","11","44 (s)","0.0","50% to less than 60%","42.1"
"United States","2017","4000975000","Wholesale sales of home lawn and garden equipment, tools, and supplies, except fresh flowers, florists' supplies, live trees, plants, and nursery stock","441222","Boat dealers","All establishments","D","D","D","D","D"
"United States","2017","4000975000","Wholesale sales of home lawn and garden equipment, tools, and supplies, except fresh flowers, florists' supplies, live trees, plants, and nursery stock","444210","Outdoor power equipment stores","All establishments","138","28,370","0.1","40% to less than 50%","28.8"
"United States","2017","4000975000","Wholesale sales of home lawn and garden equipment, tools, and supplies, except fresh flowers, florists' supplies, live trees, plants, and nursery stock","444220","Nursery, garden center, and farm supply stores","All establishments","346","76,594","0.3","30% to less than 40%","14.1"
"United States","2017","4001000000","Wholesale sales of fresh flowers, florists' supplies, live trees, plants, and nursery stock","444220","Nursery, garden center, and farm supply stores","All establishments","564","167,267","1.3","50% to less than 60%","13.2"
"United States","2017","4001000000","Wholesale sales of fresh flowers, florists' supplies, live trees, plants, and nursery stock","453110","Florists","All establishments","3","26 (s)","0.0","60% to less than 70%","64.3"
"United States","2017","4001000000","Wholesale sales of fresh flowers, florists' supplies, live trees, plants, and nursery stock","454390","Other direct selling establishments","All establishments","22","497 (s)","0.0","70% to less than 80%","76.4"
"United States","2017","4001025000","Wholesale sales of household paper and plastic products, not elsewhere classified","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","D","D","D","D","D"
"United States","2017","4001075000","Wholesale sales of still picture photographic equipment, digital and film cameras, household type","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","4001150000","Wholesale sales of newspapers, periodicals, books and other publications, except greeting cards","451211","Book stores","All establishments","6","3,891 (s)","0.0","90% to 100%","86.6"
"United States","2017","4001150000","Wholesale sales of newspapers, periodicals, books and other publications, except greeting cards","454110","Electronic shopping and mail-order houses","All establishments","5","3,317 (s)","0.0","30% to less than 40%","47.5"
"United States","2017","4001175000","Wholesale sales of sporting and recreational equipment","441222","Boat dealers","All establishments","D","D","D","D","D"
"United States","2017","4001175000","Wholesale sales of sporting and recreational equipment","451110","Sporting goods stores","All establishments","D","D","D","D","D"
"United States","2017","4001175000","Wholesale sales of sporting and recreational equipment","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","4","1,031 (s)","0.0","90% to 100%","90.6"
"United States","2017","4001175000","Wholesale sales of sporting and recreational equipment","454110","Electronic shopping and mail-order houses","All establishments","39","60,714","0.1","10% to less than 20%","19.7"
"United States","2017","4001175000","Wholesale sales of sporting and recreational equipment","454390","Other direct selling establishments","All establishments","32","2,618 (s)","0.0","60% to less than 70%","57.6"
"United States","2017","4001200000","Wholesale sales of toys, games, and hobby goods","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","D","D","D","D","D"
"United States","2017","4001200000","Wholesale sales of toys, games, and hobby goods","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","4001225000","Wholesale sales of boats and go-carts","441222","Boat dealers","All establishments","237","88,785","1.5","40% to less than 50%","32.9"
"United States","2017","4001225000","Wholesale sales of boats and go-carts","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","32","11,010 (s)","0.2","30% to less than 40%","46.4"
"United States","2017","4001250000","Wholesale sales of motorcycles and other sports vehicles","441222","Boat dealers","All establishments","8","1,012","0.0","10% to less than 20%","8.3"
"United States","2017","4001250000","Wholesale sales of motorcycles and other sports vehicles","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","665","227,381","1.8","20% to less than 30%","5.1"
"United States","2017","4001325000","Wholesale sales of new and used automobiles ","441110","New car dealers","All establishments","14,157","22,814,112","4.7","20% to less than 30%","2.7"
"United States","2017","4001325000","Wholesale sales of new and used automobiles ","441120","Used car dealers","All establishments","6,845","4,954,964","1.0","20% to less than 30%","5.3"
"United States","2017","4001325000","Wholesale sales of new and used automobiles ","441210","Recreational vehicle dealers","All establishments","17","611 (s)","0.0","30% to less than 40%","74.8"
"United States","2017","4001325000","Wholesale sales of new and used automobiles ","441310","Automotive parts and accessories stores","All establishments","27","2,220","0.0","Less than 10%","31.5"
"United States","2017","4001325000","Wholesale sales of new and used automobiles ","454110","Electronic shopping and mail-order houses","All establishments","183","59,673","0.0","10% to less than 20%","24.6"
"United States","2017","4001350000","Wholesale sales of new and used light trucks, 14,000 lb. or less, including vans, cargo vans, and SUVs ","441110","New car dealers","All establishments","9,883","16,180,114","11.9","20% to less than 30%","2.0"
"United States","2017","4001350000","Wholesale sales of new and used light trucks, 14,000 lb. or less, including vans, cargo vans, and SUVs ","441120","Used car dealers","All establishments","4,103","1,240,090","0.9","30% to less than 40%","7.5"
"United States","2017","4001350000","Wholesale sales of new and used light trucks, 14,000 lb. or less, including vans, cargo vans, and SUVs ","441210","Recreational vehicle dealers","All establishments","17","2,315 (s)","0.0","40% to less than 50%","54.1"
"United States","2017","4001350000","Wholesale sales of new and used light trucks, 14,000 lb. or less, including vans, cargo vans, and SUVs ","441310","Automotive parts and accessories stores","All establishments","19","8,641 (s)","0.0","20% to less than 30%","57.1"
"United States","2017","4001350000","Wholesale sales of new and used light trucks, 14,000 lb. or less, including vans, cargo vans, and SUVs ","454110","Electronic shopping and mail-order houses","All establishments","90","31,381","0.0","10% to less than 20%","32.5"
"United States","2017","4001375000","Wholesale sales of motor homes, travel trailers, and campers","441120","Used car dealers","All establishments","3","263 (s)","0.0","60% to less than 70%","85.5"
"United States","2017","4001375000","Wholesale sales of motor homes, travel trailers, and campers","441210","Recreational vehicle dealers","All establishments","447","169,142","10.1","10% to less than 20%","12.3"
"United States","2017","4001450000","Wholesale sales of nonprescription drugs and over-the-counter medications","446110","Pharmacies and drug stores","All establishments","S","A","S","S","S"
"United States","2017","4001475000","Wholesale sales of vitamins and nutritional and herbal supplements","446110","Pharmacies and drug stores","All establishments","3","72 (s)","0.0","Less than 10%","66.8"
"United States","2017","4001475000","Wholesale sales of vitamins and nutritional and herbal supplements","454110","Electronic shopping and mail-order houses","All establishments","7","24,443 (s)","0.1","60% to less than 70%","56.9"
"United States","2017","4001550000","Wholesale sales of health aids and first aid supplies","446199","All other health and personal care stores","All establishments","D","D","D","D","D"
"United States","2017","4001575000","Wholesale sales of cosmetics, beauty supplies, perfumes and colognes, including hair preparations and hair brushes ","446120","Cosmetics, beauty supplies, and perfume stores","All establishments","34","18,081","0.0","60% to less than 70%","20.4"
"United States","2017","4001575000","Wholesale sales of cosmetics, beauty supplies, perfumes and colognes, including hair preparations and hair brushes ","454110","Electronic shopping and mail-order houses","All establishments","4","3,473","0.0","Less than 10%","36.2"
"United States","2017","4001625000","Wholesale sales of personal care paper products, including disposable diapers, feminine hygiene products, and similar","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","D","D","D","D","D"
"United States","2017","4001750000","Wholesale sales of novelties and souvenirs, except novelty glassware","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","D","D","D","D","D"
"United States","2017","4001800000","Wholesale sales of office equipment, except computers","453210","Office supplies and stationery stores","All establishments","7","220 (s)","0.0","50% to less than 60%","54.7"
"United States","2017","4001825000","Wholesale sales of office furniture","442110","Furniture stores","All establishments","4","30 (s)","0.0","40% to less than 50%","41.8"
"United States","2017","4001825000","Wholesale sales of office furniture","453210","Office supplies and stationery stores","All establishments","D","D","D","D","D"
"United States","2017","4001850000","Wholesale sales of computers and peripheral equipment, except computer components","451211","Book stores","All establishments","D","D","D","D","D"
"United States","2017","4001850000","Wholesale sales of computers and peripheral equipment, except computer components","453210","Office supplies and stationery stores","All establishments","7","36 (s)","0.0","30% to less than 40%","55.2"
"United States","2017","4001875000","Wholesale sales of communications equipment","454110","Electronic shopping and mail-order houses","All establishments","4","238,481","0.1","Less than 10%","1.6"
"United States","2017","4001950000","Wholesale sales of medium trucks and tractors, 14,001 lb. to 33,000 lb.","441110","New car dealers","All establishments","S","A","S","S","S"
"United States","2017","4001950000","Wholesale sales of medium trucks and tractors, 14,001 lb. to 33,000 lb.","441120","Used car dealers","All establishments","6","1,172 (s)","0.0","20% to less than 30%","53.8"
"United States","2017","4001975000","Wholesale sales of heavy trucks, trailers, and road tractors, more than 33,000 lb.","441120","Used car dealers","All establishments","D","D","D","D","D"
"United States","2017","4002075000","Wholesale sales of farm machinery and equipment","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","D","D","D","D","D"
"United States","2017","4002075000","Wholesale sales of farm machinery and equipment","444210","Outdoor power equipment stores","All establishments","60","16,420","0.0","60% to less than 70%","35.6"
